Index,City,Cloudiness,Country,Date,Humidity,Lat,lng,Max Temp,Wind Speed
0,Butaritari,41,KI,1563494885,70,3.07,172.79,83.57,3.47
1,Dumai,100,ID,1563494837,94,1.68,101.45,72.41,2.57
2,Viedma,0,AR,1563494885,42,-40.81,-62.99,46.13,10.16
3,Qaanaaq,99,GL,1563494885,80,77.48,-69.36,41.81,3.74
4,Rikitea,73,PF,1563494885,74,-23.12,-134.97,68.27,24.52
5,Carnarvon,81,ZA,1563494885,96,-30.97,22.13,46.49,11.25
6,Cidreira,0,BR,1563494888,92,-30.17,-50.22,60.71,10.94
7,Najran,75,SA,1563494889,19,17.54,44.22,86.0,1.72
8,Ushuaia,40,AR,1563494889,41,-54.81,-68.31,41.0,11.41
9,Thompson,75,CA,1563494889,49,55.74,-97.86,71.6,4.7
10,Nikolskoye,90,RU,1563494889,93,59.7,30.79,62.01,8.95
11,Atuona,2,PF,1563494889,70,-9.8,-139.03,79.97,7.58
12,Berlevag,54,NO,1563494889,77,70.86,29.09,50.09,13.13
13,Cape Town,75,ZA,1563494889,93,-33.93,18.42,59.0,9.17
14,Port Alfred,58,ZA,1563494890,69,-33.59,26.89,62.01,13.33
15,Arraial do Cabo,20,BR,1563494890,77,-22.97,-42.02,60.8,4.7
16,Georgetown,40,GY,1563494890,74,6.8,-58.16,84.2,6.93
17,Upernavik,100,GL,1563494890,88,72.79,-56.15,45.05,9.64
18,Buritis,2,BR,1563494877,59,-15.62,-46.42,64.85,2.75
19,Punta Arenas,0,CL,1563494890,91,-53.16,-70.91,33.8,5.82
20,Kisoro,0,UG,1563494890,84,-1.28,29.69,50.27,2.57
21,Dehloran,0,IR,1563494891,18,32.69,47.27,78.71,11.3
22,Yulara,0,AU,1563494891,48,-25.24,130.99,44.6,4.7
23,Christchurch,100,NZ,1563494595,100,-43.53,172.64,48.99,6.89
24,Chokurdakh,100,RU,1563494891,74,70.62,147.9,41.27,8.68
25,Vaini,99,IN,1563494891,91,15.34,74.49,76.91,2.42
26,New Norfolk,20,AU,1563494891,53,-42.78,147.06,55.99,21.92
27,Mount Isa,0,AU,1563494891,25,-20.73,139.49,64.4,10.29
28,Mahebourg,75,MU,1563494892,73,-20.41,57.7,71.6,17.22
29,Vao,91,EE,1563494892,88,59.1,26.19,58.73,8.05
30,Mao,20,DO,1563494594,66,19.55,-71.08,86.0,20.8
31,Akdepe,0,TM,1563494892,22,42.05,59.39,87.8,6.93
32,Lasa,40,CY,1563494892,83,34.92,32.53,75.2,5.82
33,Vila Franca do Campo,75,PT,1563494892,88,37.72,-25.43,69.8,9.17
34,Ashington,0,GB,1563494806,93,55.18,-1.57,59.0,2.24
35,Sergeyevka,17,KZ,1563494892,78,53.88,67.42,62.69,4.34
36,Henties Bay,0,NA,1563494893,85,-22.12,14.28,52.0,15.23
37,Port Blair,37,IN,1563494893,82,11.67,92.75,83.21,14.85
38,Port Augusta,0,AU,1563494893,81,-32.49,137.76,50.0,4.7
39,Moroni,0,GR,1563494893,60,35.09,24.92,75.0,4.7
40,Bluff,0,AU,1563494893,42,-23.58,149.07,59.81,6.06
41,Mataura,100,NZ,1563494893,96,-46.19,168.86,48.0,1.21
42,Kenora,20,CA,1563494894,73,49.76,-94.48,75.2,5.82
43,Iqaluit,90,CA,1563494894,66,63.75,-68.52,48.2,2.24
44,Mar del Plata,20,AR,1563494712,45,-46.43,-67.52,45.95,35.14
45,Baglung,0,NP,1563494894,80,28.27,83.59,53.51,2.44
46,Tasiilaq,73,GL,1563494894,93,65.61,-37.64,44.6,5.82
47,Hilo,90,US,1563494718,62,19.71,-155.08,84.2,6.93
48,Bredasdorp,33,ZA,1563494894,82,-34.53,20.04,60.8,19.46
49,Hailey,5,US,1563494894,29,43.52,-114.32,78.8,5.82
50,Laguna,40,BZ,1563494896,70,16.17,-88.94,86.0,13.87
51,Hamilton,75,CA,1563494619,78,43.26,-79.87,84.2,9.17
52,Iracoubo,23,GF,1563494896,89,5.48,-53.21,76.19,3.62
